"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Alimentation";"Codes"
"idBank";"001759963";""
"Dernière mise à jour";"31/10/2025 08:45";""
"Période";"";""
"2025-10";"133.48";"P"
"2025-09";"133.79";"A"
"2025-08";"134.05";"A"
"2025-07";"133.64";"A"
"2025-06";"133.59";"A"
"2025-05";"133.75";"A"
"2025-04";"133.14";"A"
"2025-03";"132.19";"A"
"2025-02";"131.84";"A"
"2025-01";"131.94";"A"
"2024-12";"131.54";"A"
"2024-11";"131.72";"A"
"2024-10";"131.78";"A"
"2024-09";"131.52";"A"
"2024-08";"131.94";"A"
"2024-07";"131.52";"A"
"2024-06";"131.79";"A"
"2024-05";"132.02";"A"
"2024-04";"131.51";"A"
"2024-03";"131.38";"A"
"2024-02";"131.39";"A"
"2024-01";"131.81";"A"
"2023-12";"131.52";"A"
"2023-11";"131.47";"A"
"2023-10";"130.97";"A"
"2023-09";"130.92";"A"
"2023-08";"131.29";"A"
"2023-07";"130.84";"A"
"2023-06";"130.72";"A"
"2023-05";"130.38";"A"
"2023-04";"129.93";"A"
"2023-03";"129.16";"A"
"2023-02";"126.85";"A"
"2023-01";"124.75";"A"
"2022-12";"122.68";"A"
"2022-11";"122.1";"A"
"2022-10";"121.47";"A"
"2022-09";"119.39";"A"
"2022-08";"118.09";"A"
"2022-07";"116.14";"A"
"2022-06";"114.99";"A"
"2022-05";"114.11";"A"
"2022-04";"113.03";"A"
"2022-03";"111.42";"A"
"2022-02";"110.45";"A"
"2022-01";"110.07";"A"
"2021-12";"109.46";"A"
"2021-11";"108.9";"A"
"2021-10";"108.47";"A"
"2021-09";"108.65";"A"
"2021-08";"109.48";"A"
"2021-07";"108.77";"A"
"2021-06";"108.65";"A"
"2021-05";"109.41";"A"
"2021-04";"108.84";"A"
"2021-03";"108.24";"A"
"2021-02";"108.19";"A"
"2021-01";"108.4";"A"
"2020-12";"107.99";"A"
"2020-11";"108.41";"A"
"2020-10";"107.74";"A"
"2020-09";"107.57";"A"
"2020-08";"108.08";"A"
"2020-07";"107.85";"A"
"2020-06";"108.85";"A"
"2020-05";"109.7";"A"
"2020-04";"109.16";"A"
"2020-03";"107.23";"A"
"2020-02";"107.29";"A"
"2020-01";"107.32";"A"
"2019-12";"106.87";"A"
"2019-11";"106.28";"A"
"2019-10";"106.15";"A"
"2019-09";"106.62";"A"
"2019-08";"107.15";"A"
"2019-07";"106.66";"A"
"2019-06";"106.1";"A"
"2019-05";"105.99";"A"
"2019-04";"105.27";"A"
"2019-03";"105.2";"A"
"2019-02";"105.41";"A"
"2019-01";"105.23";"A"
